Timeline,Start time,Duration,Row,Instance number,CROSSING,FIRST PHASE,OFFSIDE,PEN AREA ENTRY,POSSESSION THIRDS,SECOND PHASE,SHOOTING,TRANSITION,Ungrouped,Notes,Flags
LIVE,1684.909333333333,52.60199999999986,HOME POSSESSION,47,,,,PEN AREA ENTRY,"P-M3, P-F3, P-F3, P-M3",,,,"SEAM 2 ENTRY, SEAM THREE ENTRY",,
LIVE,1756.844333333333,9.41000000000031,HOME POSSESSION,48,,,,,P-F3,,,,,,
LIVE,1786.373333333333,25.333000000000084,HOME POSSESSION,49,,,,PEN AREA ENTRY,P-M3,,"ON TARGET, SHOT",ATTACKING TRANSITION,SEAM 2 ENTRY,,
LIVE,1811.2093333333332,11.429000000000087,HOME POSSESSION,50,Cross Successful,,,,"P-M3, P-F3",,,,SEAM 2 ENTRY,,
LIVE,1835.9083333333333,6.996999999999844,HOME POSSESSION,51,,LBFB - WIN,,,P-D3,,,,,,
LIVE,1848.8143333333333,43.87599999999975,HOME POSSESSION,52,,,,PEN AREA ENTRY,"P-D3, P-M3, P-F3",,"ON TARGET, SHOT",,"SEAM 2 ENTRY, SEAM THREE ENTRY",,
LIVE,1889.690333333333,9.288000000000011,HOME POSSESSION,53,Cross Successful,,,,P-F3,,,,,,
LIVE,1899.1063333333332,27.733000000000175,HOME POSSESSION,54,Cross Successful,,,,"P-M3, P-F3",,,,SEAM 2 ENTRY,,
LIVE,1924.581333333333,5.5300000000002,HOME POSSESSION,55,,,,,P-F3,,SHOT,,,,
LIVE,1962.7903333333334,13.52099999999973,HOME POSSESSION,56,,,,,"P-M3, P-M3",,,,SEAM 2 ENTRY,,
LIVE,1993.3293333333331,23.480000000000018,HOME POSSESSION,57,,,,,"P-M3, P-F3",,,,SEAM THREE ENTRY,,
LIVE,2090.448937681829,21.06239565150372,HOME POSSESSION,58,Cross Successful,,,,P-F3,,SHOT,,,,
LIVE,2172.938333333333,32.66899999999987,HOME POSSESSION,59,,,,,"P-M3, P-D3",,,,,,
LIVE,2216.903333333333,28.269999999999982,HOME POSSESSION,60,,,,,P-M3,,,,,,
LIVE,2249.949333333333,13.28500000000031,HOME POSSESSION,61,,,,,P-M3,,,,,,
LIVE,2272.229333333333,17.976000000000113,HOME POSSESSION,62,Cross Successful,,,PEN AREA ENTRY,"P-M3, P-F3",,"GOAL, ON TARGET, SHOT",,SEAM 2 ENTRY,,
LIVE,2335.904333333333,19.200000000000273,HOME POSSESSION,63,Cross Unsuccessful,,,,P-D3,,,,SEAM 2 ENTRY,,
LIVE,2362.934333333333,4.887000000000171,HOME POSSESSION,64,,,,,"P-M3, P-M3",,,,,,
LIVE,2369.099333333333,6.066000000000258,HOME POSSESSION,65,,,,,P-M3,,,,,,
LIVE,2377.108333333333,30.12313996631974,HOME POSSESSION,66,,,,PEN AREA ENTRY,"P-M3, P-F3",,"ON TARGET, SHOT",,"SEAM 2 ENTRY, SEAM THREE ENTRY",,
LIVE,2399.9083333333333,5.971999999999753,HOME POSSESSION,67,,,,PEN AREA ENTRY,P-F3,,,,,,
LIVE,2407.4173333333333,11.989000000000033,HOME POSSESSION,68,Cross Unsuccessful,,,PEN AREA ENTRY,P-F3,,,,,,
LIVE,2417.124333333333,4.121999999999844,HOME POSSESSION,69,,,,,P-F3,,SHOT,,,,
LIVE,2422.527333333333,35.503000000000156,HOME POSSESSION,70,Cross Unsuccessful,,,,"P-M3, P-F3",,,,SEAM 2 ENTRY,,
LIVE,2482.4303333333332,35.17699999999968,HOME POSSESSION,71,,,,,"P-D3, P-M3, P-F3",,,,SEAM 2 ENTRY,,
LIVE,2688.509333333333,9.401000000000295,HOME POSSESSION,72,,,,,P-D3,,,,,,
LIVE,2708.7473333333332,25.460000000000036,HOME POSSESSION,73,,,,,P-M3,,,,SEAM 2 ENTRY,,
LIVE,2764.9753333333333,9.832999999999629,HOME POSSESSION,74,,,,PEN AREA ENTRY,P-F3,,SHOT,,,,
LIVE,2803.107333333333,38.68100000000004,HOME POSSESSION,75,,,,,"P-M3, P-F3, P-M3",,,ATTACKING TRANSITION,SEAM 2 ENTRY,,
LIVE,2867.1403333333333,29.167999999999665,HOME POSSESSION,76,"Cross Unsuccessful, Cross Unsuccessful",,,PEN AREA ENTRY,P-M3,,,,SEAM 2 ENTRY,,
LIVE,2908.710333333333,23.100000000000364,HOME POSSESSION,77,Cross Unsuccessful,,,,"P-M3, P-F3",,,,SEAM THREE ENTRY,,
LIVE,3119.707333333333,5.104000000000269,HOME POSSESSION,78,,,,,,,,,,,
LIVE,3134.6113333333333,17.795000000000073,HOME POSSESSION,79,,,,,P-M3,,,,,,
LIVE,3153.307333333333,16.100000000000364,HOME POSSESSION,80,,,,,"P-M3, P-F3",,"ON TARGET, SHOT",,SEAM 2 ENTRY,,
LIVE,3173.6113333333333,22.088999999999942,HOME POSSESSION,81,,,,,"P-M3, P-F3",,,,SEAM 2 ENTRY,,
LIVE,3206.2063333333335,30.60199999999986,HOME POSSESSION,82,Cross Unsuccessful,,,PEN AREA ENTRY,"P-M3, P-F3",,,,SEAM 2 ENTRY,,
LIVE,3292.462333333333,10.743000000000393,HOME POSSESSION,83,Cross Unsuccessful,,,,P-F3,,,,,,
LIVE,3309.6113333333333,26.295000000000073,HOME POSSESSION,84,,,,PEN AREA ENTRY,P-M3,,,ATTACKING TRANSITION,SEAM 2 ENTRY,,
LIVE,3333.6073333333334,6.587999999999738,HOME POSSESSION,85,,,,,P-M3,,,,,,
LIVE,3415.601333333333,23.20600000000013,HOME POSSESSION,86,Cross Unsuccessful,,,,"P-M3, P-F3",,,,,,
LIVE,3437.6083333333336,31.90099999999984,HOME POSSESSION,87,Cross Successful,,,PEN AREA ENTRY,P-F3,,"ON TARGET, SHOT",,SEAM 2 ENTRY,,
LIVE,3590.703333333333,12.649000000000342,HOME POSSESSION,88,,,,,P-M3,,,,,,
LIVE,3619.154333333333,38.95600000000013,HOME POSSESSION,89,,,,,P-M3,,,,SEAM 2 ENTRY,,
LIVE,3666.003333333333,15.61999999999989,HOME POSSESSION,90,,,,,P-M3,,,,,,
LIVE,3684.306333333333,32.70100000000002,HOME POSSESSION,91,Cross Unsuccessful,,,,"P-D3, P-F3",,,,SEAM 2 ENTRY,,
LIVE,3779.2513333333327,7.354000000000269,HOME POSSESSION,92,,,,,P-M3,LBSB - WIN,,,,,
LIVE,3791.1173333333336,19.29199999999946,HOME POSSESSION,93,Cross Successful,,,PEN AREA ENTRY,"P-M3, P-F3",,"ON TARGET, SHOT",,SEAM 2 ENTRY,,
LIVE,3862.9063333333334,5.498999999999796,HOME POSSESSION,94,,,,,P-D3,,,,,,
LIVE,3876.306333333333,6.689000000000306,HOME POSSESSION,95,,,,,P-D3,,,,,,
LIVE,3884.1883333333335,21.13499999999931,HOME POSSESSION,96,,,,,"P-D3, P-M3",,,,,,
LIVE,3908.7103333333334,40.39899999999943,HOME POSSESSION,97,,,,,"P-D3, P-F3",,,,,,
LIVE,3975.5983333333334,6.182999999999993,HOME POSSESSION,98,,,,,P-M3,LBSB - LOSS,,,,,
LIVE,3978.806371057535,24.022962275798818,HOME POSSESSION,99,,,,,"P-M3, P-F3",,SHOT,,,,
LIVE,4034.450333333333,6.511999999999716,HOME POSSESSION,100,,,,,P-M3,,,,,,
LIVE,4043.7283333333335,5.476999999999862,HOME POSSESSION,101,,,,,P-M3,,,,,,
LIVE,4055.408333333333,6.899000000000342,HOME POSSESSION,102,,,,,P-D3,,,,,,
LIVE,4097.106333333333,22.10199999999986,HOME POSSESSION,103,,,,,P-D3,,SHOT,,SEAM 2 ENTRY,,
LIVE,4181.922333333333,39.788000000000466,HOME POSSESSION,104,,,,PEN AREA ENTRY,"P-M3, P-F3",,,,,,
LIVE,4254.843333333333,6.448999999999614,HOME POSSESSION,105,,,,,P-M3,,,,,,
LIVE,4261.408333333333,36.097999999999956,HOME POSSESSION,106,Cross Unsuccessful,,,PEN AREA ENTRY,"P-M3, P-F3",,,,SEAM THREE ENTRY,,
LIVE,4351.060333333333,15.34900000000016,HOME POSSESSION,107,,,,,"P-M3, P-F3",,"ON TARGET, SHOT",,SEAM 2 ENTRY,,
LIVE,4371.650333333333,9.359999999999673,HOME POSSESSION,108,,,,,"P-F3, P-F3",,,,,,
LIVE,4412.1213333333335,21.988999999999578,HOME POSSESSION,109,Cross Successful,,,PEN AREA ENTRY,"P-M3, P-F3, P-F3",,"GOAL, ON TARGET, SHOT",,"SEAM 2 ENTRY, SEAM 2 ENTRY",,
LIVE,4466.722333333333,12.48700000000008,HOME POSSESSION,110,,,,,P-M3,,,,,,
LIVE,4477.408333333333,17.40099999999984,HOME POSSESSION,111,Cross Unsuccessful,,,,"P-M3, P-F3",,,,SEAM 2 ENTRY,,
LIVE,4515.342333333333,12.496000000000095,HOME POSSESSION,112,,,,,"P-M3, P-F3",,,,,,
LIVE,4527.673333333333,34.70799999999963,HOME POSSESSION,113,,,,,P-M3,,,,SEAM 2 ENTRY,,
LIVE,4572.409333333333,40.697000000000116,HOME POSSESSION,114,,,,,"P-D3, P-F3",,,,SEAM 2 ENTRY,,
LIVE,4610.861333333333,25.073999999999614,HOME POSSESSION,115,Cross Unsuccessful,,,,"P-M3, P-F3",,,,,,
LIVE,4664.129333333333,32.04899999999998,HOME POSSESSION,116,,,,PEN AREA ENTRY,"P-M3, P-F3",,,,"SEAM 2 ENTRY, SEAM THREE ENTRY",,
LIVE,4697.009333333333,11.099999999999454,HOME POSSESSION,117,,,,PEN AREA ENTRY,P-M3,,,,SEAM 2 ENTRY,,
LIVE,4770.106333333333,57.69999999999982,HOME POSSESSION,118,Cross Successful,,,PEN AREA ENTRY,P-F3,,SHOT,,SEAM 2 ENTRY,,
LIVE,4855.7463333333335,17.157999999999447,HOME POSSESSION,119,Cross Unsuccessful,,,,"P-M3, P-F3",,,,SEAM 2 ENTRY,,
LIVE,5075.409333333333,6.489999999999782,HOME POSSESSION,120,,,,,P-D3,,,,,,
LIVE,5086.507333333333,29.90099999999984,HOME POSSESSION,121,,,,,"P-D3, P-F3",,,,SEAM THREE ENTRY,,
LIVE,5142.606333333333,3.90099999999984,HOME POSSESSION,122,,,,,P-M3,,,,,,
LIVE,5145.711333333333,4.800000000000182,HOME POSSESSION,123,,,,,P-M3,,,,,,
LIVE,5150.2373333333335,7.670999999999367,HOME POSSESSION,124,,,,,P-M3,,,,,,
LIVE,5173.311333333333,6.695999999999913,HOME POSSESSION,125,,,,,P-M3,,,,,,
LIVE,5181.609333333333,14.79700000000048,HOME POSSESSION,126,,,,,P-D3,,,,,,
LIVE,5194.131333333333,20.775000000000546,HOME POSSESSION,127,Cross Successful,,,"PEN AREA ENTRY, PEN AREA ENTRY","P-M3, P-F3",,SHOT,,SEAM 2 ENTRY,,
LIVE,5248.011333333333,8.19800000000032,HOME POSSESSION,128,,,,,P-M3,,,,,,
LIVE,5256.209333333333,23.501999999999498,HOME POSSESSION,129,,,,,P-M3,,,,,,
LIVE,5299.405333333333,24.248999999999796,HOME POSSESSION,130,,,,,P-M3,,,,SEAM 2 ENTRY,,
LIVE,5323.609333333333,18.574000000000524,HOME POSSESSION,131,,,,PEN AREA ENTRY,"P-M3, P-F3",,,,,,
LIVE,5340.810333333333,15.295000000000073,HOME POSSESSION,132,,,,,P-M3,,,,,,
LIVE,5409.2063333333335,10.304999999999382,HOME POSSESSION,133,,,,,"P-M3, P-F3",,,,SEAM 2 ENTRY,,
LIVE,5439.100333333333,15.409999999999854,HOME POSSESSION,134,,,,,P-M3,,,,,,
LIVE,5483.809333333333,20.40100000000075,HOME POSSESSION,135,,,,,P-M3,,,,SEAM 2 ENTRY,,
LIVE,46.86033333333319,4.0,Start,1,,,,,,,,,,,
LIVE,2684.0603333333333,4.0,Start,2,,,,,,,,,,,
