Timeline,Start time,Duration,Row,Instance number,CROSSING,FIRST PHASE,OFFSIDE,PEN AREA ENTRY,POSSESSION THIRDS,SECOND PHASE,SHOOTING,TRANSITION,Ungrouped,Notes,Flags,Opposition,Date
FF vs AMS,2514.36,7.559999974,AWAY POSSESSION,49,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,2524.08,8.63999997,AWAY POSSESSION,50,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,2539.19992,6.83999998,AWAY POSSESSION,51,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,2565.71992,15.23999993,AWAY POSSESSION,52,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,2771.36364,14.19603999,AWAY POSSESSION,53,,,,,P-M3,,,,,,,American Samoa,05/03/2026
FF vs AMS,2790.35968,10.07999996,AWAY POSSESSION,54,,,,,,,,,,,,American Samoa,05/03/2026
FF vs AMS,2971.39596,16.43999993,AWAY POSSESSION,55,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,3009.79596,15.23999993,AWAY POSSESSION,56,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,3028.27596,14.99999993,AWAY POSSESSION,57,,,,,P-M3,,,,,,,American Samoa,05/03/2026
FF vs AMS,3056.71596,11.39999996,AWAY POSSESSION,58,,,,,P-M3,,,,,,,American Samoa,05/03/2026
FF vs AMS,3079.875959,7.559999976,AWAY POSSESSION,59,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,3155.92,16.56,AWAY POSSESSION,60,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,3262.98292,8.4,AWAY POSSESSION,61,,,,,P-M3,,,,,,,American Samoa,05/03/2026
FF vs AMS,3283.82,8.88,AWAY POSSESSION,62,,,,,P-M3,,,,,,,American Samoa,05/03/2026
FF vs AMS,3295.82,7.8,AWAY POSSESSION,63,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,3310.1,5.76,AWAY POSSESSION,64,,,,,P-M3,,,,,,,American Samoa,05/03/2026
FF vs AMS,3314.66,6.5,AWAY POSSESSION,65,,,,,P-M3,,,Attacking Transition,,,,American Samoa,05/03/2026
FF vs AMS,3357.35456,8.76,AWAY POSSESSION,66,,,,,P-M3,,,Attacking Transition,,,,American Samoa,05/03/2026
FF vs AMS,3365.51456,32.88,AWAY POSSESSION,67,,,,,"P-D3, P-M3",,,,SEAM THREE ENTRY,,,American Samoa,05/03/2026
FF vs AMS,3437.32456,14.99544,AWAY POSSESSION,68,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,3452.72,14.39,AWAY POSSESSION,69,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,3466.15,5.4,AWAY POSSESSION,70,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,3481.39,17.64,AWAY POSSESSION,71,,,,,"P-D3, P-M3",,,Attacking Transition,,,,American Samoa,05/03/2026
FF vs AMS,3586.13,11.04,AWAY POSSESSION,72,,,,,P-M3,,,,,,,American Samoa,05/03/2026
FF vs AMS,3608.66,5.28,AWAY POSSESSION,73,,,,,P-M3,,,,,,,American Samoa,05/03/2026
FF vs AMS,3614.54,25.1,AWAY POSSESSION,74,,,,,P-M3,,,,SEAM 2 ENTRY,,,American Samoa,05/03/2026
FF vs AMS,3682.66088,15.42102663,AWAY POSSESSION,75,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,3711.64188,23.36812,AWAY POSSESSION,76,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,3738.84,14.62,AWAY POSSESSION,77,,,,,P-M3,,,,,,,American Samoa,05/03/2026
FF vs AMS,3791.43,12.39,AWAY POSSESSION,78,,,,,P-M3,,,,,,,American Samoa,05/03/2026
FF vs AMS,3839.23,7.68,AWAY POSSESSION,79,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,3854.47,7.8,AWAY POSSESSION,80,,,,,P-M3,,,,,,,American Samoa,05/03/2026
FF vs AMS,3863.47,6.48,AWAY POSSESSION,81,,,,,P-M3,,,,,,,American Samoa,05/03/2026
FF vs AMS,3885.91,18.36,AWAY POSSESSION,82,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,3932.8616,11.4,AWAY POSSESSION,83,,,,,P-M3,,,,,,,American Samoa,05/03/2026
FF vs AMS,3962.88,16.07485421,AWAY POSSESSION,84,,,,,P-M3,,,,,,,American Samoa,05/03/2026
FF vs AMS,3982.49484,7.56,AWAY POSSESSION,85,,,,,P-M3,,,,,,,American Samoa,05/03/2026
FF vs AMS,4007.45484,4.68,AWAY POSSESSION,86,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,4032.07,9.18,AWAY POSSESSION,87,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,4089.59076,13.91999996,AWAY POSSESSION,88,,,,,P-D3,,,,,,,American Samoa,05/03/2026
FF vs AMS,4117.19972,16.80027994,AWAY POSSESSION,89,,,,,P-M3,,,,,,,American Samoa,05/03/2026
FF vs AMS,4147.66976,12.59999995,AWAY POSSESSION,90,,,,,P-M3,,,,,,,American Samoa,05/03/2026
FF vs AMS,4350.98928,11.75999995,AWAY POSSESSION,91,,,,,P-D3,,,,,,,American Samoa,05/03/2026
